customer_id,customer_name,reg_date
C1,Anvi Konda,12/12/2022
C2,Harsh Chahal,11/25/2023
C3,Ayushman Chander,8/3/2025
C4,Yashasvi Bala,11/11/2023
C5,Oni Kannan,10/10/2026
C6,Abeer Dutta,10/27/2025
C7,Arunima Dugal,8/6/2025
C8,Harsh Chanda,10/31/2023
C9,Jagrati Padmanabhan,3/26/2025
C10,Tripti Yadav,4/1/2024
C11,Farhan Memon,1/23/2023
C12,Ekaraj Bath,1/28/2025
C13,Fariq Kaul,12/10/2023
C14,Arunima Setty,11/10/2022
C15,Kamala Pant,2/7/2025
C16,Ekbal Garg,10/13/2023
C17,Nihal Shere,7/18/2026
C18,Theodore Nair,3/24/2025
C19,Azad Mutti,6/23/2022
C20,Dominic Kakar,5/31/2025
C21,Simon Tata,10/29/2026
C22,Luke Lanka,5/14/2025
C23,Adya Sangha,3/10/2023
C24,Janaki Kanda,12/18/2026
C25,Gavin Batta,3/6/2023
C26,Nathaniel Sami,12/7/2022
C27,Lakshmi Sidhu,7/17/2022
C28,Advay Contractor,7/2/2026
C29,Harini Choudhury,7/27/2026
C30,Nakul Setty,6/30/2024
C31,Xiti Gokhale,1/11/2022
C32,Chanchal Tripathi,4/27/2026
C33,Kashvi Edwin,9/10/2023
C34,Ekiya Suresh,8/3/2026
C35,Janani Mohanty,3/2/2022
C36,Wridesh Brar,1/14/2024
C37,Ekapad Walia,9/24/2022
C38,Vaishnavi Gandhi,1/26/2023
C39,Siddharth Zacharia,4/3/2024
C40,Mohini Prakash,9/17/2023
C41,Jai Kota,9/23/2025
C42,Hamsini Bail,11/30/2023
C43,Thomas Amble,9/17/2026
C44,Veer Bir,8/9/2022
C45,Ekavir Varkey,4/8/2022
C46,Vedika Kala,1/10/2024
C47,Urvashi Kibe,8/3/2026
C48,Ranveer Chandra,1/9/2026
C49,Irya Sampath,10/29/2022
C50,Chatura Chaudhari,7/1/2025
C51,Harinakshi Chopra,7/8/2022
C52,Ranveer Yadav,2/12/2024
C53,Pahal Goswami,10/25/2025
C54,Zaid Borra,5/15/2024
C55,Chandresh Zachariah,10/8/2025
C56,Warjas Ganesan,2/15/2022
C57,Vasana Kala,6/16/2025
C58,Nitesh Raghavan,5/30/2025
C59,Alka Sha,1/7/2022
C60,Vidhi Dubey,6/5/2024
C61,Teerth Bhardwaj,8/13/2023
C62,Dipta Bhandari,12/5/2026
C63,Yadavi Wali,6/5/2022
C64,Yashoda Buch,5/5/2023
C65,Ekansh Keer,8/1/2023
C66,Yatin Baral,6/8/2025
C67,Diya Lal,9/12/2022
C68,William Lanka,9/27/2023
C69,Charita Shankar,5/14/2025
C70,Aditya Shanker,9/9/2024
C71,Ethan Yogi,10/16/2026
C72,Kevin Palla,10/25/2023
C73,Kala Mane,8/2/2022
C74,Chasmum Wadhwa,5/6/2023
C75,Hemang Desai,1/25/2022
C76,Hredhaan Dugal,4/1/2024
C77,Shivansh Oza,4/26/2024
C78,Yashasvi Suresh,9/25/2023
C79,George Sampath,2/20/2024
C80,Aarush Nath,5/9/2024
C81,Neel Sathe,2/11/2023
C82,Aditya Choudhury,9/11/2026
C83,Balendra Pingle,8/22/2022
C84,Qushi Datta,12/15/2026
C85,Janya Baral,5/10/2022
C86,Zaid Chauhan,1/16/2025
C87,Mohammed Khalsa,1/3/2025
C88,Nitara Bakshi,5/20/2023
C89,Nisha Kothari,7/12/2023
C90,Hritik Raja,4/8/2024
C91,Tristan Iyengar,5/1/2022
C92,Dalaja Kari,12/1/2025
C93,Reyansh Rastogi,11/24/2023
C94,Ekaraj Mallick,10/16/2024
C95,Garima Bala,12/26/2024
C96,Pranav Lanka,12/25/2022
C97,Radha Pai,4/29/2022
C98,Yasti D’Alia,9/1/2024
C99,Aachal Basu,4/11/2025
C100,Zinal Yohannan,9/16/2025
C101,Raagini Boase,9/5/2023
C102,Jeet Mital,10/22/2024
C103,Nilima Narain,4/25/2026
C104,Joshua Handa,6/4/2025
C105,Owen Mitra,7/30/2025
C106,Daksha Mangat,6/15/2025
C107,Ekanta Shroff,10/16/2023
C108,Tanay Vaidya,10/4/2025
C109,Frado Mander,1/10/2026
C110,Girik Keer,5/21/2026
C111,Rushil Din,8/22/2024
C112,Yash Soman,3/17/2022
C113,Oeshi Hayer,8/15/2022
C114,Mugdha Kohli,4/7/2025
C115,Hredhaan Sandal,4/4/2023
C116,Zarna Shetty,11/11/2023
C117,Jairaj Shan,6/6/2022
C118,Edhitha Savant,2/19/2023
C119,Sanaya Dutt,4/18/2026
C120,Aashi Kota,1/14/2026
C121,William Maharaj,5/11/2024
C122,Bhavika Keer,9/28/2025
C123,Ekaja Zachariah,4/24/2024
C124,Matthew Kashyap,9/8/2022
C125,Tanish Bhatt,4/5/2025
C126,Ganga Shukla,7/12/2025
C127,Samuel Salvi,7/15/2025
C128,Lajita Sood,4/25/2025
C129,Chanchal Ramakrishnan,1/19/2022
C130,Vinaya Kanda,7/25/2025
C131,Vedika Balakrishnan,4/27/2024
C132,Nidhi Gandhi,4/23/2025
C133,Avi Ramesh,12/23/2025
C134,Fiyaz Sangha,10/20/2026
C135,Qabil Bedi,2/26/2023
C136,Falak Kakar,3/19/2024
C137,Geetika Raghavan,11/13/2025
C138,Zayyan Bumb,5/14/2024
C139,Charles Palla,1/1/2026
C140,Banjeet Balasubramanian,11/28/2023
C141,Anmol Dua,2/8/2024
C142,Urvashi Contractor,1/12/2024
C143,Udyati Kunda,10/19/2026
C144,Ishwar Gade,2/20/2025
C145,Atharv Muni,8/24/2024
C146,Mekhala Issac,11/24/2026
C147,Harsh Mitra,8/25/2022
C148,Idika Walia,1/12/2023
C149,Ekapad Toor,8/23/2025
C150,Osha Suri,11/26/2024
C151,Janaki Sharaf,11/24/2022
C152,Patrick Vig,4/21/2023
C153,Udyati Sarin,4/19/2024
C154,Yatan Chadha,4/13/2024
C155,Yagnesh Shetty,5/16/2024
C156,Gayathri Balakrishnan,11/6/2026
C157,Qabil Sura,3/16/2026
C158,Aarna Oak,10/22/2023
C159,Advaith Varughese,5/18/2024
C160,Wyatt Ray,8/17/2023
C161,Vamakshi Swaminathan,2/26/2026
C162,Girik Menon,10/24/2025
C163,Yagnesh Mohan,11/20/2023
C164,Urvashi Wali,12/12/2026
C165,Ganga Pandey,12/4/2024
C166,Damini Krishnamurthy,11/10/2025
C167,Reyansh Mutti,12/18/2023
C168,Rehaan Kalita,1/7/2023
C169,Barkha Chaudhry,2/13/2026
C170,Utkarsh Patel,8/27/2023
C171,Akshay Walla,7/12/2023
C172,Chakradev Bhagat,1/29/2023
C173,Jonathan Swaminathan,9/16/2026
C174,Bhavani Singh,11/15/2022
C175,Harini Gour,1/27/2026
C176,Vanya Comar,6/9/2022
C177,Vyanjana Borah,7/23/2022
C178,Max Dixit,11/28/2026
C179,Frederick Kothari,10/15/2026
C180,Upkaar Virk,1/4/2023
C181,Saanvi Mishra,3/27/2025
C182,Darpan Chaudhary,8/25/2025
C183,Aishani Bumb,10/8/2023
C184,Oscar Borde,5/3/2023
C185,Nilima Seshadri,5/2/2023
C186,Bachittar Kata,12/30/2025
C187,Sudiksha Bobal,6/14/2024
C188,Rudra Sandal,12/27/2023
C189,Manthan Lata,12/23/2022
C190,Darpan Gandhi,3/18/2023
C191,Reva Dash,8/13/2024
C192,Neha Magar,12/27/2025
